name,DOB,sex,race,height,weight,zip,street,brth_cert_number
Weston WYMAN,092973,0,3,,136,20255,4320 PINEVIEW  STREET,499926
Paola DUBOSE,053044,0,2,63,,38083,5965 BREENS  ST,718799
Francesca DELUCA,060750,0,4,,,23467,2918 KATHRYN  ST,835490
Sierra WHITFIELD,090870,0,4,66,,37045,6662 LAKE  STREET,616566
Melany EARL,110970,0,2,89,183,31650,4745 LAKE  STREET,578998
Jadyn WINN,120347,0,4,69,152,31293,5258 WILBURN  STREET,813875
Diana YARBROUGH,082247,0,1,50,125,20620,6317 OLD DECATUR  ST,581746
Ashlynn BOURGEOIS,112551,0,1,49,86,29018,8113 EVANS  STREET,777450
Brody KEITH,120779,0,2,72,,20679,5128 ARBOR WAY  ST,662137
Sean BULL,042940,0,2,72,,33122,4954 HAMPTON  STREET,358565
Ellie AYALA,011041,0,4,60,167,20662,974 ARBOR WAY  STREET,159154
Maya LINN,090355,0,3,,,26013,4257 CHURCH  STREET,172188
Tobias CLEVELAND,032865,0,1,75,,30585,6929 GLENN  ST,180294
Brendan COLES,041579,0,1,75,155,30547,1697 HILLDALE  STREET,445484
Lillian PERRY,120866,0,1,44,109,24958,135 NORRIS  STREET,677022
Easton TURPIN,122975,0,4,77,182,37712,1096 2ND  ST,771468
Juliana GARZA,121654,0,2,,,29318,6273 CRAIGIE  ST,644982
Aniyah BARTLEY,040164,0,1,81,194,22335,2215 ASHBURY  ST,220436
Moses MURRELL,021546,0,2,79,,22218,7356 KNOB HILLS  STREET,779019
Addyson PRATHER,022050,0,1,76,,33222,345 HANCOCK  STREET,765224
Bianca LAYTON,090215,0,4,48,109,33635,1535 FAYETTEVILLE  ST,809751
Israel BLOOM,050141,0,4,76,179,37507,2717 ARBOR WAY  ST,895060
Allie POST,092557,0,3,,141,24105,7002 HILLCREST  ST,359770
Crystal BERMAN,093080,0,4,73,,24245,8136 CONWAY  ST,605964
Marc HENSON,112379,0,4,,125,37359,9494 CARTER  STREET,761610
Terry RYDER,032945,0,2,76,171,31371,850 MANOR  ST,368650
Marisol NEFF,102375,0,2,,175,35896,5725 KATHRYN  ST,458855
Linda VANDYKE,062876,0,2,84,,21739,5088 MAEDIRIS  ST,501116
Lucy BRITTON,111051,0,1,60,140,32010,4439 MIDWAY  ST,612954
Kirsten WINDHAM,071972,0,2,51,104,31654,5132 JEFFERSON SQUARE  STREET,647270
Willow GRUBB,041569,0,4,66,158,26890,5463 HILLDALE  STREET,854484
Genesis YOUNG,081451,0,4,,,20816,2922 MAPLE  ST,575658
Nicolas RICKER,121361,0,4,75,143,32158,6981 CHARLESGATE  STREET,849510
Sierra HUNTER,091953,0,1,91,182,33324,9553 MOUNT VERNON  ST,768472
Helen STUMP,012866,0,2,66,135,25904,2286 BROWN  STREET,536947
Chelsea REDD,021659,0,1,76,,22692,6078 RIO  STREET,408299
Titus ESCOBEDO,110860,0,3,52,,20715,653 ADAIR  ST,744118
Teagan WADE,071153,0,3,83,150,20657,4930 LANDOVER  ST,720587
Cesar PARK,050975,0,3,64,124,38408,4460 CHARLESTON OAKS  ST,570016
Leah TALLEY,061477,0,3,73,146,25639,8839 SHADOWMOOR  ST,721749
William FORTNER,021064,0,1,63,111,26706,2649 GENEVA  ST,118929
Saul LIBBY,032565,0,2,69,92,23351,196 WEEKS  ST,200541
Bennett SAVAGE,081663,0,2,79,,23409,8807 NELSON FERRY  ST,714557
Bryson MELVIN,091443,0,1,76,,35647,1393 PINEVIEW  STREET,184300
Cora DUFF,111958,0,4,,119,34718,8799 OAKHURST COMMON  STREET,660130
Kaleb CLOUTIER,042066,0,1,60,150,27785,3871 WILBURN  STREET,104308
Ivan BOWENS,100482,0,1,65,134,25733,3159 FAIRFIELD  ST,893704
Aileen DUPRE,101785,0,1,73,147,33781,2712 GREYLOCK  STREET,697951
Erik SHEETS,100575,0,3,78,140,39112,9031 EMERSON  ST,753772
Gianna LOCKE,110446,0,1,57,,27092,9121 JEFFERSON SQUARE  STREET,365398
Dakota LAMB,071466,0,4,,,32352,6553 HILLMONT  ST,375804
Diana GROSS,030654,0,2,,112,31496,7892 POPE  STREET,251415
Rowan FERGUSON,041383,0,4,70,134,36047,7002 ROYAL PATH  ST,166687
Logan ESCOBAR,032151,0,2,52,109,28864,9664 WIMBERLY  ST,468719
Lilian NOBLES,062350,0,3,72,146,26038,2697 PATE  STREET,744850
Jaiden TROUTMAN,051462,0,2,57,95,34689,2007 MICHIGAN  ST,255451
Bryce REED,102050,0,1,66,159,26058,6257 ROBIN  STREET,215573
Angel CRUZ,061263,0,2,73,,25335,3315 POPE  STREET,644996
Charles THOMSON,102142,0,1,50,,38157,4824 LAMONT  STREET,817623
Camryn PEARCE,040166,0,1,80,128,21122,1924 EMERSON  ST,764904
Madalyn STOKES,011246,0,3,79,174,35502,1256 RUPERT  STREET,827319
Carson BEAVERS,021342,0,3,58,,24490,7950 CHARTER  ST,215955
Kadence SIMS,090547,0,2,,133,28578,5789 MCCLEAN  STREET,183073
Amy BOYLES,062249,0,4,68,108,28756,1036 OLDFIELD  STREET,284768
Philip HEBERT,032583,0,4,66,137,36868,5148 TALLEY  ST,548734
Seth BACON,041043,0,1,74,,24019,8849 POWELL  STREET,549029
Cayden FROST,121979,0,3,76,131,30321,6779 UNDERWOOD  ST,133856
Kirsten PADILLA,040783,0,1,49,103,32020,7400 WINTER  ST,602263
Dustin PHILLIPS,032485,0,4,63,147,31770,6321 ELECTRIC  STREET,382671
Maddison PARTRIDGE,090145,0,3,53,,36788,1585 KIRK CROSSING  STREET,512974
Sebastian GROSSMAN,012744,0,1,61,121,30312,6062 DERRYDOWN  ST,530043
Gerardo BOUCHARD,120566,0,1,73,121,25023,7255 COMMERCE  STREET,703604
Branden VELAZQUEZ,032374,0,1,,144,32470,2831 RUSSELL  ST,577456
Liliana MAPLES,040759,0,3,77,,36119,8141 GENERAL DELIVERY  STREET,168743
Raul WALDRON,081861,0,3,69,161,35633,5715 OAKLAND  STREET,736250
Evan GILLILAND,090549,0,3,,149,39855,7626 BRIDLEWOOD  ST,280871
Landen SPEAR,072448,0,4,69,108,22369,8583 FOWLER  ST,705575
Serenity COVINGTON,091571,0,1,,159,35992,990 OLD DECATUR  ST,137511
Leila CORDERO,122351,0,,69,165,35492,9941 VILLAGE  STREET,357215
Nickolas BOLLINGER,020861,0,2,69,164,20491,4263 WILTSHIRE  STREET,553990
William HEARD,071549,0,2,54,,24024,5390 VILLAGE  ST,513247
Mackenzie SNEED,122762,0,3,78,,20011,815 HOWARD  ST,291434
Anna DAIGLE,060257,0,1,58,140,22532,6634 LAREDO  ST,610876
Christian BYERS,092446,0,4,60,121,34390,1361 ROYAL  STREET,513920
Riley GIBBS,101771,0,4,,106,32730,6522 WHEATFIELDS  STREET,720238
Jaylen HORTON,071881,0,4,68,147,30179,5519 HURON  ST,587477
Maddison WOOTEN,060455,0,3,59,,30781,8813 GROVEMONT  ST,108624
Mekhi WILLINGHAM,011077,0,2,73,151,33228,8980 RIDGELAND  STREET,305815
Elizabeth HECK,120347,0,2,77,183,23169,6782 CLAIRMONT  ST,100922
Crystal KEEN,071755,0,3,78,169,24190,9613 DRIFTWOOD  STREET,448210
Natasha BANKS,081410,0,4,69,159,37669,428 OAKHURST  ST,205298
Jaden MCCARTER,121050,0,2,,126,20989,9762 FAIRPARK  ST,149632
Avery DONOVAN,031146,0,1,,,33206,5783 FELD  ST,421738
Ezekiel BURKHART,122572,0,2,59,,36161,8310 REGAL PATH  STREET,819342
Luna IRCKER,050454,0,4,62,123,31669,2196 COLLEGE  STREET,682572
Fiona MCGEE,090342,0,2,,137,36285,3771 BROWN  STREET,290019
Adrianna KENNEY,020465,0,3,72,155,33562,2694 ROYAL PATH  STREET,251932
Kristina GIRARD,111444,0,2,53,,30598,7464 GARDEN  ST,628147
Louis SCHAFER,101856,0,2,60,,38543,6529 WOODLAND  ST,264823
Collin POLLARD,092583,0,4,68,143,31335,8487 LAREDO  STREET,504743
Hope BRAUN,062556,0,4,,160,27957,5132 APPIAN  ST,470558
Carolina HOLBROOK,111246,0,4,61,165,38425,1824 HILLYER  ST,661561
Rose RAINS,082547,0,4,74,141,38320,2277 APPIAN  STREET,487781
Daniela CARROLL,123074,0,4,63,140,33938,5913 ZOAR  STREET,664411
Madeline ROUSH,103078,0,4,,147,24689,8694 HORIERIC  ST,140303
Bennett SKIDMORE,010451,0,1,60,165,22017,8371 WINN  ST,287199
Theodore HAWKINS,020746,0,1,63,126,25136,836 WILLOW  STREET,752082
Amelia GRAF,021243,0,4,56,89,25767,9429 ASHBURY  ST,860142
Arturo HILL,123074,0,1,78,,31677,9533 LANSDOWNE  ST,429715
Myles QUEEN,092358,0,2,57,101,30529,5649 NORRIS  ST,387155
Jake ADAIR,010544,0,2,46,,30161,7628 SENECA  STREET,763354
Mark HOLBROOK,072948,0,4,,,39256,2494 5TH  STREET,811598
Samantha FOSS,030643,0,3,,148,29342,673 MCKINNON  STREET,548855
Kira CORONADO,120863,0,3,61,120,38217,8113 WILBURN  STREET,659157
Katelyn BOONE,041048,0,1,,130,33655,7284 HOOD  ST,478800
Carly ROUSE,022052,0,3,,137,26455,5117 SYCAMORE RIDGE  STREET,378177
Riley BIRD,031074,0,2,66,81,37589,2579 ELECTRIC  ST,754820
Cohen IRVING,013179,0,3,70,,29113,1388 MELROSE  ST,118761
Branden BELL,031358,0,2,48,133,39221,8001 DEARBORN  ST,111724
Nevaeh SEWARD,111774,0,3,75,145,20562,9794 COLLEGE  ST,790801
Elle DAVIDSON,053184,0,3,69,145,35158,3780 GREENWOOD  ST,453033
Noel SCRUGGS,101658,0,2,55,110,38013,3210 WILBURN  ST,182312
Emely WALDRON,073052,0,1,64,143,26194,3847 CRAIGIE  STREET,736569
Elizabeth WEISS,101542,0,3,74,149,20560,4878 IRVIN  ST,818075
Damian OCONNOR,052563,0,2,60,115,33589,889 ASHFIELD  ST,442312
Fernanda GAGNE,121552,0,3,67,,20321,6042 PLAINVIEW  STREET,138199
Trey JUNG,042256,0,2,73,144,31145,8477 WOODBURY  ST,240532
Raul WEBSTER,090754,0,2,77,190,33029,2674 SCOTT  STREET,139202
Dane LAWS,040150,0,1,55,112,36115,9157 STERLING  STREET,255724
Audrey YI,030147,0,1,66,,22903,5513 WESTCHESTER  STREET,166697
Lucia RYDER,041456,0,1,63,132,31778,3772 RIDLEY HOWARD  STREET,551350
Garrett WHALEY,021672,0,2,69,,30314,5587 VILLA  STREET,154771
Jada GRUBBS,082876,0,2,59,104,23465,1008 FORKNER  ST,705068
Pedro BURKE,052243,0,2,74,,21853,8562 CALLAWAY BUILDING  ST,678845
Emmanuel GARLAND,063062,0,4,70,,31209,9577 MOUNTAIN VIEW  ST,549703
Ainsley NOE,091084,0,2,74,158,22842,8614 CLARION  STREET,714160
Jack BIGGS,033158,0,1,,,21914,7458 POWELL  ST,435984
Brooklynn GRIFFITH,011866,0,4,54,141,25872,4184 FORKNER  STREET,478522
Isiah CARBONE,100784,0,4,,144,23735,3033 CRAIGIE  STREET,644380
Gustavo SIMONS,081142,0,3,,139,32614,1646 FORREST  ST,211440
Braxton LOOMIS,110185,0,2,76,,25716,2995 GRAYSON  STREET,615463
Anthony LOZANO,122464,0,1,62,141,36546,2266 PENSDALE  ST,688194
Tessa FARROW,030166,0,4,,98,37137,7849 FREEMAN  ST,690578
Oliver DENT,091985,0,1,,146,29103,8908 WINN  ST,808370
Joel SAMPSON,011265,0,3,67,168,38572,132 OLE ANSLEY  ST,405551
Declan RUNYON,032780,0,3,,168,28852,5880 WILTSHIRE  STREET,238842
Amir PARNELL,112776,0,1,89,208,27935,682 KATHRYN  STREET,334136
Jasper HODGES,032368,0,4,64,130,37439,9902 ASHWOOD  ST,676830
Jacqueline POOLE,090374,0,2,57,,28583,1408 HILL  STREET,335324
Lydia MULLER,032167,0,2,,152,34319,1705 ROBIN  ST,615268
Mario COYLE,110875,0,4,65,131,25001,6536 OLE ANSLEY  STREET,482679
Michelle PACHECO,082971,0,1,64,149,25925,8704 LAREDO  STREET,221798
Desiree WILLOUGHBY,072648,0,3,,144,38978,9457 WESTCHESTER  ST,869082
Amari SHELBY,091266,0,1,60,134,26215,5004 PATTILLO  STREET,109398
Osvaldo PARRIS,100478,0,3,55,105,27014,4549 LUCERNE  ST,203618
Jaxson GABRIEL,111956,0,4,74,181,38719,791 MONTGOMERY  ST,683202
Dillon WEINSTEIN,091844,0,4,62,169,20111,9960 HILLCREST  STREET,709341
Talon PAINE,042574,0,1,,,30251,3674 DOROTHY  ST,193735
Hanna SCHRADER,120162,0,1,70,167,30766,2429 STERLING  STREET,794121
Angelique MALONEY,061085,0,2,79,174,39136,4051 MOCKINGBIRD  STREET,152045
America VENTURA,032965,0,4,58,137,31195,7531 PINETREE  ST,241878
Ashton MACIAS,111981,0,2,,160,20658,2733 ARCADIA  STREET,307533
Deandre GILCHRIST,080881,0,3,72,113,34285,8587 FITZGERALD  ST,625032
Shawn SHARP,031362,0,4,52,136,33491,3412 PENSDALE  STREET,857954
Yesenia FISHER,020584,0,2,55,,21528,8737 MAEDIRIS  STREET,574205
Ezekiel TROUTMAN,032157,0,1,72,158,37131,4128 NEW  ST,658228
Alissa MONTES,122171,0,2,,82,35401,9384 VICKERS  STREET,584852
Armando SPURLOCK,050970,0,1,50,103,25449,949 VILLA  STREET,869763
Gloria BECK,082753,0,1,66,148,21181,8191 WIMBERLY  ST,322551
Denise GOSS,101954,0,2,56,130,23709,5935 WESTCHESTER  ST,578227
Nicole BRANCH,032178,0,3,88,183,27881,3476 LANSDOWNE  STREET,852884
Lucas LOWE,102852,0,4,,150,36893,8563 3RD  STREET,583598
Amaya NUMBERS,030983,0,2,44,,34150,9387 GREYLOCK  ST,765227
Shayla MONTGOMERY,030549,0,4,,120,36680,328 SUPERIOR  STREET,717466
Marshall REEVES,111579,0,1,53,116,33443,3855 RIMINGTON  STREET,129187
Naomi HOLDER,122975,0,4,,123,36673,7514 HICKORY  STREET,392699
Corbin REES,060669,0,3,81,134,36021,3901 HILLYER  STREET,243074
Estrella CANNON,021464,0,1,70,123,36188,6511 COMMERCE  STREET,591894
Finn GREENFIELD,062872,0,1,67,100,30511,8323 DURAND  ST,427925
Imani LEVINE,111064,0,1,66,137,25159,2634 POPLAR  STREET,333139
Camryn AREVALO,013183,0,1,63,145,36685,2161 MAXWELL  ST,626017
Brianna TROTTER,121157,0,3,,159,24563,4799 POWELL  ST,390600
Alexandria CRIST,102167,0,4,81,169,,,623154
Nikolas NOBLES,110364,0,4,49,115,32263,8877 MONTGOMERY  STREET,324898
Brenna BOURQUE,060144,0,4,,150,29803,2685 MCKINNON  ST,354527
Jameson COON,050151,0,2,81,155,24258,3006 PINECREST  ST,326884
Alondra SAMUELS,072041,0,3,71,189,33828,2590 HIBERNIA  ST,468205
Keira STANFORD,101445,0,1,67,144,27653,4083 AVERY  STREET,237134
Nancy MATSON,050442,0,1,57,110,30087,531 CANDLER  ST,365891
Greyson CALVERT,070283,0,4,85,,21810,3946 HUNTER  ST,244192
Richard BAUGHMAN,041971,0,1,81,134,35061,3462 OAKVIEW  STREET,403000
Johan HANKS,022880,0,4,,135,32545,6952 HERTFORD  STREET,681885
Carter AGUIRRE,070857,0,1,73,149,29834,9391 DURAND FALLS  STREET,562892
Dane MARVIN,111678,0,4,69,,37796,7660 MCKOY  STREET,210564
Eddie HARRELL,102577,0,3,61,134,34004,4515 MEAD  STREET,355570
Jameson DUNBAR,021862,0,3,67,132,29432,2699 VICKERS  STREET,808489
Mariah IRIZARRY,051070,0,2,57,,24072,674 DEVONSHIRE  STREET,259654
Troy SAPP,123073,0,1,65,170,30482,9099 CONWAY  ST,433711
Joaquin RAY,012848,0,3,78,,20143,5291 DRIFTWOOD  ST,485657
Delilah BURNHAM,052069,0,3,75,173,27740,962 ASHBURY HEIGHTS  STREET,398195
Joaquin OTT,081085,0,3,60,142,36213,9666 GARDEN  STREET,467967
Cameron KANE,022263,0,3,57,112,38363,6033 SWANTON HILL  STREET,552259
Vincent PRATER,053160,0,2,74,164,35352,1446 GRAYSON  STREET,409618
Scott CHOATE,042249,0,1,63,,20843,5258 LENORE  ST,537108
Kate THIBODEAU,022069,0,1,67,152,38994,3132 CAMBRIDGE  STREET,746940
Joel GOETZ,110767,0,3,75,171,32959,9530 PARKWOOD  ST,429989
Cheyenne CURLEY,071547,0,4,92,153,29823,2513 KATHRYN  STREET,557677
Morgan SHULER,051864,0,3,,113,30525,9158 MCKOY  STREET,250808
Payton PAULSON,012447,0,1,,127,35464,7720 SPRINGDALE  ST,588183
Aidan JEAN,080678,0,2,,156,24206,1348 WINNONA  ST,129575
Vincent GURLEY,011857,0,2,59,93,35807,3269 APPIAN  STREET,178060
Cody BALLARD,072679,0,3,58,117,30139,631 SYCAMORE  ST,221515
William MCLAUGHLIN,050754,0,3,70,,38779,3999 FORREST  ST,319624
Georgia GRAF,081577,0,3,,134,30421,4068 WOODLAND  ST,170838
Silas WILHELM,102043,0,4,,91,23132,9161 POPE  ST,164153
Mackenzie WAKEFIELD,080948,0,3,67,154,20593,313 HEATHERDOWN  ST,316898
Brenna BERNSTEIN,062746,0,2,56,118,20767,6426 WINNONA  ST,830111
Johnathan NEWMAN,012579,0,3,,156,35443,1911 HUNTER  ST,726988
Kylee GROVE,070166,0,3,62,125,30234,211 CANDLER GROVE  STREET,141961
Darren LAPOINTE,062352,0,1,73,,23808,8933 EVANS  ST,692282
Melvin HOOKER,080962,0,3,75,168,22978,832 1ST  ST,647176
Liliana NOYES,080153,0,3,,114,33210,1786 CHURCH  ST,789794
Quincy ASHBY,111242,0,3,51,140,28257,6788 HILLYER  STREET,518158
Denise ABERNATHY,091568,0,1,,117,29527,4378 CATHERINE  STREET,537873
Josie GOOCH,080256,0,2,62,149,28123,9740 MISSIONARY  STREET,336521
Sandra DOSS,110452,0,4,73,171,,,887191
Tyler STEPP,072379,0,1,56,,27671,5704 FITZGERALD  STREET,609626
Alexandria CORNISH,011373,0,2,60,120,33022,7100 KATIE KERR  ST,418031
Josie BARKLEY,113054,0,3,80,,26418,1942 MEDLOCK  STREET,790550
Gabrielle CARSON,112667,0,2,,131,25352,6295 FRANKLIN  ST,711030
Maggie CAPPS,092841,0,4,44,109,31968,6905 APPIAN  ST,156433
Mauricio MAIN,051571,0,4,63,124,27566,5790 HICKORY  ST,703229
Brayden SALTER,061058,0,4,,144,21786,4380 FORREST  STREET,349404
Kayleigh ALDRICH,062073,0,4,60,,39192,4628 TWIN OAKS  ST,387728
Ayden CARRINGTON,042467,0,1,57,129,32325,367 RUPERT  ST,404614
Zander CHANCE,021858,0,1,73,171,22784,285 ROCKLAND  STREET,666118
Bryanna NORWOOD,052775,0,4,73,134,32904,2188 HUNTER  ST,382616
Jaxson SIMMONS,012368,0,4,89,201,38563,8175 TALLEY  ST,502303
Claudia WOODWARD,110748,0,4,56,121,28744,7835 MONTICELLO  ST,154882
Emiliano FOREMAN,032556,0,4,75,,21014,9831 CRAIGIE  STREET,889667
Vanessa SUTHERLAND,012647,0,2,77,188,21929,1609 BROOKS  ST,447108
Bryanna CARON,022072,0,4,74,124,26360,5849 TWIN OAKS  ST,883862
Jon ABBOTT,022042,0,3,,107,20939,5402 UPLAND  ST,583833
Vincent QUINONES,120155,0,3,58,160,32033,2082 GREEN  STREET,215340
Harley BLEVINS,050170,0,3,,,23515,373 HEATON PARK  STREET,101327
Drake DEATON,050849,0,3,56,113,38165,3119 MEAD  STREET,572863
Elise WAITE,061474,,4,60,,33955,8495 RIO  STREET,601163
Gary LAYTON,031564,0,1,62,100,,,824473
Brianna CROCKER,080478,0,4,80,161,38734,1296 PATTILLO  STREET,692376
Michael WASHBURN,041053,0,4,,162,35102,8892 DEKALB INDUSTRIAL  ST,624432
Lane CREWS,122267,0,1,68,128,26889,9378 WINNONA  ST,793883
Gavin BALL,112563,0,4,78,,24705,2678 EMERSON  ST,375162
Madalyn SANTANA,071944,0,3,79,,37004,5747 HILLMONT  STREET,516527
Dana DOUGLASS,061964,0,2,,110,26510,8627 TALLEY  ST,280821
Bryce LANDRUM,020581,0,1,69,,32565,533 KNOB HILLS  STREET,301456
Ainsley HICKEY,052579,0,2,,136,33826,1397 ASHBURY  STREET,654649
Devon LACKEY,051078,0,1,85,167,28159,218 KIRK  ST,172099
Christopher CORNELL,071261,0,2,90,134,36568,771 INMAN  ST,145772
Jeremy NUMBERS,112960,0,4,64,122,23778,7314 MEAD  ST,403337
Thomas LADD,061251,0,1,50,147,36993,6207 ELECTRIC  STREET,538043
Jonathon FINK,031449,0,3,,143,39303,2823 MAXWELL  STREET,218659
Kyla LESLIE,122054,0,2,64,150,37279,8126 FENWAY  ST,372370
Ricky REAVES,031449,0,1,68,189,23346,9880 TWIN OAKS  STREET,796406
Jack BARROW,121149,0,1,,143,20090,8216 PATE  STREET,168039
Kassandra ANDERS,071462,0,4,70,160,23761,7957 GROVEMONT  STREET,494114
Nevieh CASTLE,050776,0,2,66,123,29050,2509 LIVINGSTON  ST,367037
Bryant BURDICK,112271,0,4,56,94,28360,4522 MCCLEAN  ST,505778
Alexis TPAIA,030983,0,1,,136,28842,3241 APPIAN  ST,596819
Dylan OWEN,050444,0,3,64,126,34435,943 CLAIREMONT  ST,260276
Ezra OSBORN,062242,0,2,78,166,21583,6211 MADISON  STREET,672820
Nadia WEBBER,072162,0,2,,187,39641,4503 WOODHAVEN  STREET,632249
Kiley DUTTON,060184,0,4,59,122,39398,1330 CLARION  STREET,815426
Valentina ROSA,012742,0,2,54,97,32891,3369 DOUGHERTY  ST,436820
Callie OCONNOR,122061,0,4,,124,37438,8363 PARK  ST,737812
Phillip CRUZ,111377,0,2,73,143,33548,4934 JEFFERSON  STREET,621198
Jakob STEPHENS,061071,0,3,81,155,28305,9319 GREEN  ST,427132
Ismael HANNAH,082454,0,1,,167,37036,9502 ADAMS  ST,498398
Christopher NORTON,072141,0,3,80,147,23086,7367 COTTONWOOD  ST,600249
Isiah MAYER,120373,0,2,58,134,38285,8681 VICKERS  STREET,170007
George ALBRIGHT,082865,0,2,71,124,39582,8825 GRAYSON  ST,528358
Esmeralda FALCON,072853,0,1,58,111,22280,4826 CHARLESGATE  ST,252421
Carlos GARVIN,050678,0,4,82,141,25853,703 LUCERNE  ST,677732
Cameron ROUSE,071561,0,4,,157,21299,2542 PONCE DE LEON  ST,705009
Shannon COBURN,041771,0,3,,125,28131,9315 BROWN  STREET,803182
Lucas OMON,042046,0,3,54,,37262,6935 DEARBORN  STREET,693764
Jayson LIGHT,061172,,1,56,,22906,8432 TWIN OAKS  ST,877674
Braden BOUDREAU,090157,0,4,50,109,20139,1382 BUCHANAN  STREET,614250
Bridget ADAMS,011041,0,3,59,,35464,9566 COVENTRY  ST,575975
Jayson BRADY,070257,0,3,88,,31669,2446 WINTER  STREET,112396
Jasmin KNOWLES,050973,0,3,,,32965,2971 PATTILLO  STREET,140955
Tony MCCURDY,071860,0,3,74,,20615,8087 HAMPTON  STREET,867670
Felix MCGINNIS,071966,0,3,,160,39499,8554 DEARBORN  ST,845497
Jaden DOWNS,070348,0,2,77,186,37555,2173 POPLAR LANE  STREET,125920
Leonardo SNEED,070746,0,3,88,133,27240,4065 MOUNT VERNON  ST,183096
Morgan GRAY,122944,0,1,,160,30899,1136 CHEVELLE  STREET,353441
Maximus PROCTOR,111059,0,3,,,26344,4257 KATIE KERR  ST,524027
Cesar LILLY,022044,0,2,70,127,33955,2284 JOHNSON  STREET,845450
Brynn GAVIN,092451,0,3,,101,29013,9912 DURAND  STREET,253633
Kelsey JOHNSON,052458,0,2,,160,39164,9357 KINGS  ST,297268
Haley MCWILLIAMS,120546,0,2,73,136,27631,1637 MAPLE  STREET,442711
Maria MARKS,110553,0,3,52,,25190,9134 GARDEN  ST,792216
Linda HADLEY,041757,0,1,69,130,35843,6370 HURON  ST,554630
Molly HOLLINS,100861,0,3,62,,31347,930 FITZGERALD  STREET,252683
Shawn GARRETT,050249,0,4,68,146,33271,8785 MOCKINGBIRD  STREET,636804
Gabriel SHEFFIELD,090746,0,2,,159,36685,722 STERLING  STREET,366897
Dominick SHAW,100157,0,1,,,29999,7099 HICKORY  STREET,262325
Ayden GOLDSTEIN,061461,0,3,,193,32257,2968 JEFFERSON  ST,482511
Danielle SAYLOR,051359,0,2,55,139,32623,3018 MOUNT VERNON  ST,500302
Sydney CRAIN,081784,0,1,70,139,22918,3533 BUCHANAN  STREET,153562
Bryan HOSKINS,042544,0,2,70,169,24614,8995 VILLAGE WALK  STREET,850396
Kadence GORE,042470,0,4,63,145,28913,3726 DURAND FALLS  STREET,542464
Brayden VILLA,021768,0,3,66,147,38875,5968 GREENWOOD  ST,716737
Addison HOUSER,111541,0,3,45,,30893,4650 MIDWAY  ST,825477
Harper WINSTEAD,072360,0,4,,163,37359,3154 CHIEF MATTHEWS  ST,341059
Brennan MYLES,100481,0,4,56,,34166,4865 WOODLAWN  ST,788347
Brayan BERGERON,121245,0,1,55,89,35138,3211 CHEWNING  STREET,317423
Marcus SIMMONS,031651,0,1,77,151,26511,3381 BROWN  STREET,778653
Kailey MATHIS,032470,0,3,62,102,31593,2409 CANDLER  ST,661197
Katelyn WARE,072760,0,1,49,98,36404,8633 CHELSEA  ST,856962
Judah MATA,061581,0,2,69,133,20133,8071 MCCLEAN  ST,258352
Mercedes ERNST,031857,0,3,65,142,27118,1211 CALLAWAY  ST,315590
Jack METZGER,022585,0,3,68,138,29484,8632 CLARION  STREET,191264
Ashton GARRISON,051055,0,4,78,146,34952,3014 ROBIN  STREET,367011
Trinity SANDOVAL,062850,0,4,71,114,30373,2192 MONTICELLO  STREET,523249
Zackary ASHBY,062441,0,1,,106,22631,7090 MAXWELL  ST,591807
Angel SALDANA,041267,0,3,72,149,22237,8648 TANYARD CREEK  STREET,339348
Ariel STEVENS,082859,0,3,71,194,29033,333 WIMBERLY  ST,632877
Alexia CARLTON,061766,0,3,78,172,29306,1466 CANDLER POINTE  ST,715544
Carmen HOWE,113081,0,3,55,154,31652,7145 KATIE KERR  STREET,270303
Gabrielle SHAPIRO,082540,0,3,70,,24778,8440 MADISON  ST,522307
Dominick DAVILA,121985,0,4,79,167,20337,1130 NORRIS  ST,414736
Kingston BURNEY,042749,0,1,71,160,28468,6999 VILLA  ST,519838
Dane HOLDER,031240,0,2,73,,37195,235 FAYETTEVILLE  STREET,452745
Abbigail HUEY,100859,0,1,77,,36753,4984 PHARR  STREET,581376
Hazel COREY,091284,0,4,53,129,20470,6748 HORIERIC  ST,531749
Trevor GODFREY,052773,0,4,69,145,26594,3635 FRANKLIN  ST,520115
Kristopher PERKINS,071762,0,2,,131,31583,1617 POWELL  ST,839132
Lauren RAMSEY,070662,0,4,63,120,32418,8473 VICKERS  ST,810336
Reece DILL,010585,0,2,84,164,20229,8786 VILLAGE  STREET,594996
Tyler MOSLEY,012461,0,1,,,23837,9136 PHARR  STREET,506101
Brooke ALLARD,042085,0,4,71,,36837,4451 DERRYDOWN  STREET,241845
Jordan BARNEY,092349,0,4,73,158,27947,5312 SYCAMORE  STREET,558672
Ethan LAMBERT,081957,0,2,69,,22324,3201 COTTONWOOD  STREET,483501
Julianna KNOWLES,090569,0,3,,120,20823,4130 PATTILLO  ST,847666
Lyla MORROW,102646,0,1,54,135,38604,2563 KATIE KERR  ST,511483
Cynthia BUTCHER,020477,0,2,72,,31540,1257 FAIRFIELD  ST,558910
Harper GLASS,122862,0,1,57,80,27664,7069 BENSON  STREET,122172
Robert PAYTON,072170,0,2,72,,25293,3211 CHURCH  STREET,391118
Tiffany JACOBSON,012779,0,4,,135,32041,6453 VILLA  ST,384232
Jose FORTIER,102453,0,1,60,127,21503,8444 BROWN  ST,824210
