firsrt_name,last_name,DOB,sex,race,height,weight,ZIP,street,defect_code
Sandra,MATTHEWS,01151969,0,2,58,88,20000,9696 ROYAL  STREET,215,
Ian,HUNTLEY,06091984,0,2,67,132,22294,3985 PARK  STREET,307,
Devon,PETERS,11021959,0,3,76,142,39960,2191 BUCHER  ST,423,
Annie,PETTY,03301969,0,3,73,179,24204,2836 OLE ANSLEY  ST,337,
Thomas,QUALLS,01301968,0,3,67,131,28212,2211 MADISON  ST,219,
Gabriella,SMALLEY,11041979,0,1,71,124,39574,6473 SYCAMORE RIDGE  ST,147,
Rachael,MOODY,06031965,0,3,57,103,29886,3144 ROBIN  STREET,369,
Holly,BERNARD,01271948,0,3,66,123,26060,6003 LAKE  ST,353,
Joel,WITHERSPOON,10131975,0,3,78,,35501,3557 HORIERIC  ST,151,
Angel,HUMPHREY,07261985,0,1,68,124,31997,3936 GREENWOOD  ST,489,
Phoenix,CARBONE,01191942,0,3,59,111,33847,8621 LOCKWOOD  ST,122,
Osvaldo,SPENCE,08091962,0,1,69,151,26810,6670 GROVEMONT  STREET,310,
Caden,ARROYO,05251958,0,1,65,122,28831,4745 FELD  ST,361,
Jadon,JOINER,07121955,0,1,,163,31063,4872 KIRK CROSSING  ST,250,
Bruce,STARKS,02181947,0,2,,149,38154,9109 WOODLAND  STREET,411,
Viviana,TRAHAN,10071975,0,4,76,182,22083,5078 ROYAL PATH  STREET,344,
Dayanara,HANKINS,05211942,0,2,78,,21314,2556 ROBIN  ST,270,
Lizbeth,LESTER,03161947,0,2,,100,20500,5676 1ST  STREET,401,
Abigail,RHODES,03021957,0,2,70,127,32404,2098 JEFFERSON SQUARE  STREET,219,
Levi,SISK,12071959,0,4,76,180,22694,9117 HOOD  STREET,227,
Logan,GASKINS,07151974,0,3,62,160,20776,3662 OLYMPIC  ST,355,
Jordyn,NUMBERS,03191945,0,2,78,,23066,9755 CAMBRIDGE  STREET,481,
Weston,WYMAN,09291973,0,3,66,136,20255,4320 PINEVIEW  STREET,343,
Paola,DUBOSE,05301944,0,2,,114,38083,5965 BREENS  ST,127,
Francesca,DELUCA,06071950,0,4,56,110,23467,2918 KATHRYN  ST,396,
Sierra,WHITFIELD,09081970,0,4,55,129,36082,4741 VILLAGE  STREET,325,
Melany,EARL,11091970,0,2,77,174,31647,713 POPLAR  ST,433,
Jadyn,WINN,12031947,0,4,69,,31293,5258 WILBURN  STREET,374,
Diana,YARBROUGH,08221947,0,1,,126,20620,6317 OLD DECATUR  ST,273,
Ashlynn,BOURGEOIS,11251951,0,1,55,,29018,8113 EVANS  STREET,432,
Brody,KEITH,12071979,0,2,72,161,20679,5128 ARBOR WAY  ST,265,
Sean,BULL,04291940,0,2,73,162,20467,6793 HANCOCK  STREET,184,
Ellie,AYALA,01101941,0,4,75,133,20662,974 ARBOR WAY  STREET,131,
Maya,LINN,09031955,0,3,60,,22090,7752 UNDERWOOD  STREET,115,
Tobias,CLEVELAND,03281965,0,1,75,,26808,2234 LEYDEN  STREET,412,
Brendan,COLES,04151979,0,1,75,124,34427,9551 HEATON PARK  ST,317,
Lillian,PERRY,12081966,0,1,,109,24958,135 NORRIS  STREET,438,
Easton,TURPIN,12291975,0,4,75,156,30703,1456 CLAIREMONT  ST,333,
Juliana,GARZA,12161954,0,2,72,134,29318,6273 CRAIGIE  ST,442,
Aniyah,BARTLEY,04011964,0,1,70,,25372,5437 ADAMS  ST,103,
Moses,MURRELL,02151946,0,2,66,138,22218,7356 KNOB HILLS  STREET,469,
Addyson,PRATHER,02201950,0,1,76,,33222,345 HANCOCK  STREET,269,
Bianca,LAYTON,03021975,0,4,56,,30419,6764 WOODHAVEN  ST,471,
Israel,BLOOM,05011941,0,4,76,161,37507,2717 ARBOR WAY  ST,136,
Allie,POST,09251957,0,3,72,152,24105,7002 HILLCREST  ST,352,
Crystal,BERMAN,09301980,0,4,,177,25463,1714 BROOKS  ST,177,
Marc,HENSON,11231979,0,4,,125,31133,4204 OAKHURST  ST,412,
Terry,RYDER,03291945,0,2,76,,31371,850 MANOR  ST,443,
Marisol,NEFF,10231975,0,2,67,190,33313,9740 DRIFTWOOD  ST,365,
Linda,VANDYKE,06281976,0,2,78,174,21739,5088 MAEDIRIS  ST,101,
Lucy,BRITTON,11101951,0,1,60,,32010,4439 MIDWAY  ST,174,
Kirsten,WINDHAM,07191972,0,2,,,31654,5132 JEFFERSON SQUARE  STREET,496,
Willow,GRUBB,04151969,0,4,66,138,26890,5463 HILLDALE  STREET,253,
Genesis,YOUNG,08141951,0,4,61,136,20816,2922 MAPLE  ST,431,
Nicolas,RICKER,12131961,0,4,68,119,32158,6981 CHARLESGATE  STREET,287,
Sierra,HUNTER,09191953,0,1,,178,29238,8638 MIDWAY  ST,360,
Helen,STUMP,01281966,0,2,66,138,25904,2286 BROWN  STREET,221,
Chelsea,REDD,02161959,0,1,76,178,24347,5441 OAKHURST  STREET,303,
Titus,ESCOBEDO,11081960,0,3,65,,39498,9648 MELROSE  ST,136,
Teagan,WADE,07111953,0,3,77,158,20657,4930 LANDOVER  ST,435,
Cesar,PARK,05091975,0,3,64,106,38408,4460 CHARLESTON OAKS  ST,445,
Leah,TALLEY,06141977,0,3,,146,25639,8839 SHADOWMOOR  ST,126,
William,FORTNER,02101964,0,1,63,122,29798,3468 ARBOR WAY  ST,265,
Saul,LIBBY,03251965,0,,58,,23351,196 WEEKS  ST,376,
Bennett,SAVAGE,08161963,0,2,79,157,37858,8731 1ST  ST,248,
Bryson,MELVIN,09141943,0,1,,146,35647,1393 PINEVIEW  STREET,414,
Cora,DUFF,11191958,0,4,58,,32368,4219 DEVONSHIRE  STREET,446,
Kaleb,CLOUTIER,04201966,0,1,69,147,33098,6043 CHESTER  STREET,360,
Ivan,BOWENS,10041982,0,1,65,139,36527,5993 VIVIAN  ST,454,
Aileen,DUPRE,10171985,0,1,,176,33781,2712 GREYLOCK  STREET,123,
Erik,SHEETS,10051975,0,3,,140,28247,2179 MEDLOCK  STREET,461,
Gianna,LOCKE,11041946,0,1,57,,22600,9111 ZOAR  ST,348,
Dakota,LAMB,07141966,0,4,,,32352,6553 HILLMONT  ST,272,
Diana,GROSS,03061954,0,2,61,160,31496,7892 POPE  STREET,494,
Rowan,FERGUSON,04131983,0,4,70,,36047,7002 ROYAL PATH  ST,357,
Logan,ESCOBAR,03211951,0,2,57,87,28864,9664 WIMBERLY  ST,348,
Lilian,NOBLES,06231950,0,3,70,141,26038,2697 PATE  STREET,218,
Jaiden,TROUTMAN,05141962,0,2,57,114,34689,2007 MICHIGAN  ST,231,
Bryce,REED,10201950,0,1,,168,34850,9230 APPIAN  STREET,112,
Angel,CRUZ,06121963,0,2,73,165,25335,3315 POPE  STREET,145,
Charles,THOMSON,10211942,0,1,63,133,38157,4824 LAMONT  STREET,385,
Camryn,PEARCE,04011966,0,1,67,144,32135,2399 WOODHAVEN  STREET,235,
Madalyn,STOKES,01121946,0,3,79,163,35502,1256 RUPERT  STREET,215,
Carson,BEAVERS,02131942,0,3,58,,24490,7950 CHARTER  ST,431,
Kadence,SIMS,09051947,0,2,78,167,28578,5789 MCCLEAN  STREET,472,
Amy,BOYLES,06221949,0,4,,156,28756,1036 OLDFIELD  STREET,205,
Philip,HEBERT,03251983,0,4,66,,36198,8529 MAXWELL  STREET,332,
Seth,BACON,04101943,0,1,74,,24019,8849 POWELL  STREET,408,
Cayden,FROST,12191979,0,3,76,160,38885,6138 CARTER  ST,306,
Kirsten,PADILLA,04071983,0,1,55,113,36070,2064 HEATON PARK  ST,131,
Dustin,PHILLIPS,03241985,0,4,63,,23639,4049 CREEKWOOD  ST,362,
Maddison,PARTRIDGE,03011945,0,3,67,144,35871,3417 ROYAL  STREET,188,
Sebastian,GROSSMAN,01271944,0,1,61,114,30312,6062 DERRYDOWN  ST,452,
Gerardo,BOUCHARD,12051966,,1,73,121,25023,7255 COMMERCE  STREET,146,
Branden,VELAZQUEZ,03231974,0,1,71,144,32470,2831 RUSSELL  ST,473,
Liliana,MAPLES,04071959,0,3,70,104,38046,5697 LANDOVER  STREET,279,
Raul,WALDRON,08181961,0,3,,141,35633,5715 OAKLAND  STREET,329,
Evan,GILLILAND,09051949,,3,,149,39855,7626 BRIDLEWOOD  ST,219,
Landen,SPEAR,07241948,0,4,69,127,22369,8583 FOWLER  ST,161,
Serenity,COVINGTON,09151971,0,1,74,159,35992,990 OLD DECATUR  ST,415,
Leila,CORDERO,12231951,0,4,79,,35492,9941 VILLAGE  STREET,345,
Nickolas,BOLLINGER,02081961,0,2,69,164,20491,4263 WILTSHIRE  STREET,412,
William,HEARD,07151949,0,2,59,124,22089,6338 BUCHANAN  STREET,418,
Mackenzie,SNEED,12271962,0,3,73,160,20011,815 HOWARD  ST,278,
Anna,DAIGLE,06021957,0,1,58,117,22532,6634 LAREDO  ST,103,
Christian,BYERS,09241946,0,4,,121,34390,1361 ROYAL  STREET,371,
Riley,GIBBS,10171971,0,4,,123,32730,6522 WHEATFIELDS  STREET,499,
Jaylen,HORTON,07181981,0,4,68,151,30179,5519 HURON  ST,199,
Maddison,WOOTEN,06041955,0,3,57,115,27383,540 TALLEY  ST,150,
Mekhi,WILLINGHAM,01101977,0,2,73,151,33228,8980 RIDGELAND  STREET,306,
Elizabeth,HECK,12031947,0,2,77,170,23169,6782 CLAIRMONT  ST,201,
Crystal,KEEN,07171955,0,3,78,169,24190,9613 DRIFTWOOD  STREET,135,
Natasha,BANKS,08141970,0,4,67,159,37669,428 OAKHURST  ST,484,
Jaden,MCCARTER,12101950,0,2,,126,20989,9762 FAIRPARK  ST,309,
Avery,DONOVAN,03111946,0,1,57,97,33206,5783 FELD  ST,154,
Ezekiel,BURKHART,12251972,0,2,59,110,37524,9664 HAMPTON  STREET,320,
Luna,RICKER,05041954,0,4,59,119,31669,2196 COLLEGE  STREET,366,
Fiona,MCGEE,09031942,0,2,74,,36285,3771 BROWN  STREET,448,
Adrianna,KENNEY,02041965,0,3,72,167,33562,2694 ROYAL PATH  STREET,196,
Kristina,GIRARD,11141944,0,2,65,,30598,7464 GARDEN  ST,170,
Louis,SCHAFER,10181956,0,2,,144,38543,6529 WOODLAND  ST,145,
Collin,POLLARD,09251983,0,4,79,169,31335,8487 LAREDO  STREET,166,
Hope,BRAUN,06251956,0,4,70,160,27864,4678 HOWARD  STREET,261,
Carolina,HOLBROOK,11121946,0,4,,165,38425,1824 HILLYER  ST,189,
Rose,RAINS,08251947,0,4,62,,22063,732 SPRINGDALE  STREET,324,
Daniela,CARROLL,12301974,0,4,63,140,37390,5625 JOHNSON  STREET,234,
Madeline,ROUSH,10301978,0,4,69,134,33386,4525 PENSDALE  ST,407,
Bennett,SKIDMORE,01041951,0,1,76,132,23358,3409 WINN  ST,183,
Theodore,HAWKINS,02071946,0,1,65,126,37476,8608 CREEKWOOD  STREET,293,
Amelia,GRAF,02121943,0,4,56,96,25767,9429 ASHBURY  ST,286,
Arturo,HILL,12301974,0,1,78,162,31677,9533 LANSDOWNE  ST,203,
Myles,QUEEN,09231958,0,2,57,126,27397,7633 PINEVIEW  ST,313,
Jake,ADAIR,01051944,0,2,58,117,36806,957 NEW  ST,272,
Mark,HOLBROOK,07291948,0,4,65,140,39256,2494 5TH  STREET,180,
Samantha,FOSS,03061943,0,3,,148,29342,673 MCKINNON  STREET,225,
Kira,CORONADO,12081963,0,3,61,,38217,8113 WILBURN  STREET,138,
Katelyn,BOONE,04101948,0,1,65,111,33655,7284 HOOD  ST,481,
Carly,ROUSE,02201952,0,3,,137,26455,5117 SYCAMORE RIDGE  STREET,318,
Riley,BIRD,03101974,0,2,55,,39210,9449 HIGH GATE  ST,329,
Cohen,IRVING,01311979,0,3,70,132,29113,1388 MELROSE  ST,364,
Branden,BELL,03131958,0,2,60,106,24139,2234 MCKOY  ST,324,
Nevaeh,SEWARD,11171974,0,3,75,166,39729,3284 CHARLESTON OAKS  STREET,433,
Elle,DAVIDSON,05311984,0,3,69,116,35158,3780 GREENWOOD  ST,466,
Noel,SCRUGGS,10161958,0,2,,115,31271,3361 GENEVA  ST,424,
Emely,WALDRON,07301952,0,1,64,,26194,3847 CRAIGIE  STREET,245,
Elizabeth,WEISS,10151942,0,3,,149,39806,9749 DURAND  STREET,491,
Damian,OCONNOR,05251963,0,2,60,123,25679,7582 HILLDALE  STREET,137,
Fernanda,GAGNE,12151952,0,3,67,141,20321,6042 PLAINVIEW  STREET,142,
Trey,JUNG,04221956,0,2,73,163,31145,8477 WOODBURY  ST,485,
Raul,WEBSTER,09071954,0,2,72,151,33029,2674 SCOTT  STREET,496,
Dane,LAWS,04011950,0,1,55,112,36115,9157 STERLING  STREET,290,
Audrey,YI,03011947,0,1,79,178,22903,5513 WESTCHESTER  STREET,251,
Lucia,RYDER,04141956,0,1,63,120,31778,3772 RIDLEY HOWARD  STREET,462,
Garrett,WHALEY,02161972,0,2,69,148,20326,7902 TANYARD CREEK  STREET,409,
Jada,GRUBBS,08281976,0,2,59,95,26842,7261 GLENDALE  ST,286,
Pedro,BURKE,05221943,0,2,,157,26518,2159 OAKVIEW  ST,414,
Emmanuel,GARLAND,06301962,0,4,,169,31209,9577 MOUNTAIN VIEW  ST,101,
Ainsley,NOE,09101984,0,2,,,22842,8614 CLARION  STREET,170,
Jack,BIGGS,03311958,,1,68,,34893,5034 DAVIS  ST,269,
Brooklynn,GRIFFITH,01181966,0,4,68,128,25872,4184 FORKNER  STREET,320,
Isiah,CARBONE,10071984,0,4,65,151,23735,3033 CRAIGIE  STREET,297,
Gustavo,SIMONS,08111942,0,3,65,139,33173,4135 IRVIN  STREET,438,
Braxton,LOOMIS,11011985,0,2,68,152,38057,6078 WILLOW  STREET,466,
Anthony,LOZANO,12241964,0,1,,123,24256,3719 CHEVELLE  STREET,147,
Tessa,FARROW,03011966,0,4,55,98,39861,1415 GLENDALE  ST,134,
Oliver,DENT,09191985,0,1,69,135,29103,8908 WINN  ST,487,
Joel,SAMPSON,01121965,0,3,72,168,38572,132 OLE ANSLEY  ST,269,
Declan,RUNYON,03271980,0,3,63,140,28852,5880 WILTSHIRE  STREET,364,
Amir,PARNELL,11271976,0,1,,,27935,682 KATHRYN  STREET,234,
Jasper,HODGES,03231968,0,4,64,130,37439,9902 ASHWOOD  ST,150,
Jacqueline,POOLE,09031974,0,2,57,134,28583,1408 HILL  STREET,498,
Lydia,MULLER,03211967,0,2,69,141,23149,9941 DURAND FALLS  STREET,413,
Mario,COYLE,11081975,0,4,,131,25001,6536 OLE ANSLEY  STREET,446,
Michelle,PACHECO,08291971,0,1,64,131,32689,5286 WILLIAMS  STREET,121,
Desiree,WILLOUGHBY,07261948,0,3,79,181,38978,9457 WESTCHESTER  ST,483,
Amari,SHELBY,09121966,0,1,60,141,26215,5004 PATTILLO  STREET,346,
Osvaldo,PARRIS,10041978,0,3,,80,35624,8957 CHEWNING  ST,180,
Jaxson,GABRIEL,11191956,0,4,74,135,38438,9902 VIDAL  ST,235,
Dillon,WEINSTEIN,09181944,0,4,78,,36295,9082 FORKNER  STREET,367,
Talon,PAINE,04251974,0,1,58,,32721,8621 BRUTON  STREET,222,
Hanna,SCHRADER,12011962,0,1,70,167,39880,303 PHARR  ST,496,
Angelique,MALONEY,06101985,0,2,,169,39136,4051 MOCKINGBIRD  STREET,179,
America,VENTURA,03291965,0,4,58,,26839,6540 LIVINGSTON  STREET,143,
Ashton,MACIAS,11191981,0,2,69,160,20658,2733 ARCADIA  STREET,240,
Deandre,GILCHRIST,08081981,0,3,72,,37550,825 ROYAL PATH  ST,101,
Shawn,SHARP,03131962,0,4,61,109,33491,3412 PENSDALE  STREET,118,
Yesenia,FISHER,02051984,0,2,,103,21528,8737 MAEDIRIS  STREET,494,
Ezekiel,TROUTMAN,03211957,0,1,72,155,37131,4128 NEW  ST,396,
Alissa,MONTES,12211971,0,2,55,103,35401,9384 VICKERS  STREET,431,
Armando,SPURLOCK,05091970,0,1,59,,25449,949 VILLA  STREET,296,
Gloria,BECK,08271953,0,1,66,112,21181,8191 WIMBERLY  ST,114,
Denise,GOSS,10191954,0,2,64,,23709,5935 WESTCHESTER  ST,158,
Nicole,BRANCH,03211978,0,3,79,208,35941,1906 CANDLER GROVE  ST,379,
Lucas,LOWE,10281952,0,4,,140,36893,8563 3RD  STREET,332,
Amaya,NUMBERS,03091983,0,2,55,96,36277,7987 2ND  STREET,194,
Shayla,MONTGOMERY,03051949,0,4,56,98,20264,9368 FREEMAN  STREET,439,
Marshall,REEVES,11151979,0,1,67,146,31748,5646 VIVIAN  STREET,326,
Naomi,HOLDER,12291975,0,4,76,,36673,7514 HICKORY  STREET,207,
Corbin,REES,06061969,0,3,,134,24590,6308 ERIE  STREET,203,
Estrella,CANNON,02141964,0,1,59,109,36188,6511 COMMERCE  STREET,121,
Finn,GREENFIELD,06281972,0,1,,121,30511,8323 DURAND  ST,265,
Imani,LEVINE,11101964,0,1,66,,25159,2634 POPLAR  STREET,478,
Camryn,AREVALO,01311983,0,1,63,,36685,2161 MAXWELL  ST,497,
Brianna,TROTTER,12111957,0,3,,,21436,350 COVENTRY  ST,426,
Alexandria,CRIST,10211967,0,4,71,169,,,491,
Nikolas,NOBLES,11031964,0,4,61,126,32263,8877 MONTGOMERY  STREET,316,
Brenna,BOURQUE,06011944,0,4,77,165,29803,2685 MCKINNON  ST,163,
Jameson,COON,05011951,0,2,75,155,24258,3006 PINECREST  ST,174,
Alondra,SAMUELS,07201941,0,3,71,164,20820,2056 MICHIGAN  ST,145,
Keira,STANFORD,10141945,0,1,,140,20991,3718 OAKVIEW  STREET,363,
Nancy,MATSON,05041942,0,1,57,88,30087,531 CANDLER  ST,469,
Greyson,CALVERT,07021983,0,4,71,129,21810,3946 HUNTER  ST,370,
Richard,BAUGHMAN,04191971,0,1,70,155,39727,2428 VIVIAN  STREET,223,
Johan,HANKS,02281980,0,4,63,113,34305,1092 DOUGHERTY  STREET,441,
Carter,AGUIRRE,07081957,0,1,73,149,29834,9391 DURAND FALLS  STREET,124,
Dane,MARVIN,11161978,0,4,69,150,37796,7660 MCKOY  STREET,161,
Eddie,HARRELL,10251977,0,3,,154,23217,3012 WIMBERLY  STREET,149,
Jameson,DUNBAR,02181962,0,3,67,158,29432,2699 VICKERS  STREET,118,
Mariah,IRIZARRY,05101970,0,2,57,124,24072,674 DEVONSHIRE  STREET,132,
Troy,SAPP,12301973,0,1,78,170,30482,9099 CONWAY  ST,296,
Joaquin,RAY,01281948,0,3,,144,20143,5291 DRIFTWOOD  ST,490,
Delilah,BURNHAM,05201969,0,3,75,,37823,9716 DALEROSE  ST,234,
Joaquin,OTT,08101985,0,3,76,,35357,5106 COTTONWOOD  STREET,186,
Cameron,KANE,02221963,0,3,,112,20057,6457 APPIAN  ST,299,
Vincent,PRATER,05311960,0,2,74,164,24654,1213 DURAND FALLS  STREET,225,
Scott,CHOATE,04221949,0,1,,121,20843,5258 LENORE  ST,393,
Kate,THIBODEAU,02201969,0,1,67,121,38994,3132 CAMBRIDGE  STREET,399,
Joel,GOETZ,11071967,0,3,75,,33356,568 OLD DECATUR  STREET,247,
Cheyenne,CURLEY,07151947,0,4,77,153,29823,2513 KATHRYN  STREET,193,
Morgan,SHULER,05181964,0,3,56,,30525,9158 MCKOY  STREET,497,
Payton,PAULSON,01241947,0,1,64,,37165,4813 RIDLEY  STREET,145,
Aidan,JEAN,08061978,0,2,74,,28272,1777 ASHBURY HEIGHTS  STREET,365,
Vincent,GURLEY,01181957,0,2,59,97,28243,1115 WOODHAVEN  STREET,159,
Cody,BALLARD,07261979,0,3,63,133,22956,5659 WOODHAVEN  ST,217,
William,MCLAUGHLIN,05071954,0,3,70,,26211,2061 OAKLAND  ST,101,
Georgia,GRAF,08151977,0,3,,,37777,7330 NEW  ST,334,
Silas,WILHELM,10201943,0,4,57,,24981,3712 NORRIS  ST,295,
Mackenzie,WAKEFIELD,08091948,0,3,67,184,20593,313 HEATHERDOWN  ST,494,
Brenna,BERNSTEIN,06271946,,2,56,137,20767,6426 WINNONA  ST,267,
Johnathan,NEWMAN,01251979,0,3,62,170,35443,1911 HUNTER  ST,308,
Kylee,GROVE,07011966,0,3,62,,28868,6889 HAMPTON  ST,390,
Darren,LAPOINTE,06231952,0,1,,147,20768,8282 CHEVELLE  ST,223,
Melvin,HOOKER,08091962,0,3,75,168,22978,832 1ST  ST,117,
Liliana,NOYES,08011953,0,3,64,127,33210,1786 CHURCH  ST,423,
Quincy,ASHBY,11121942,0,3,60,,28257,6788 HILLYER  STREET,154,
Denise,ABERNATHY,09151968,0,1,69,145,39037,6567 JOHNSON  STREET,311,
Josie,GOOCH,08021956,0,2,,174,20560,5552 BREENS  ST,175,
Sandra,DOSS,11041952,0,4,73,143,26855,355 ZOAR  ST,367,
Tyler,STEPP,07231979,0,,56,109,27671,5704 FITZGERALD  STREET,314,
Alexandria,CORNISH,01131973,0,2,57,,23925,5534 LANSDOWNE  STREET,401,
Josie,BARKLEY,11301954,0,3,78,134,26418,1942 MEDLOCK  STREET,142,
Gabrielle,CARSON,11261967,0,2,67,158,24957,7208 OAKLAND  ST,431,
Maggie,CAPPS,09281941,0,4,,118,31968,6905 APPIAN  ST,477,
Mauricio,MAIN,05151971,0,4,79,144,27566,5790 HICKORY  ST,342,
Brayden,SALTER,06101958,0,4,57,120,21786,4380 FORREST  STREET,129,
Kayleigh,ALDRICH,06201973,0,4,60,131,39192,4628 TWIN OAKS  ST,134,
Ayden,CARRINGTON,04241967,0,1,57,,32325,367 RUPERT  ST,497,
Zander,CHANCE,02181958,0,1,73,153,22784,285 ROCKLAND  STREET,278,
Bryanna,NORWOOD,05271975,0,4,73,,32904,2188 HUNTER  ST,196,
Jaxson,SIMMONS,01231968,0,4,78,,23739,9460 CLAIRMONT  ST,215,
Claudia,WOODWARD,11071948,0,4,58,121,28744,7835 MONTICELLO  ST,158,
Emiliano,FOREMAN,03251956,0,4,,192,21014,9831 CRAIGIE  STREET,434,
Vanessa,SUTHERLAND,01261947,0,2,76,157,21929,1609 BROOKS  ST,445,
Bryanna,CARON,02201972,0,4,,132,24178,3943 WOODFERN  ST,190,
Jon,ABBOTT,02201942,0,3,58,103,39585,2788 VILLAGE WALK  STREET,434,
Vincent,QUINONES,12011955,0,3,,122,32033,2082 GREEN  STREET,270,
Harley,BLEVINS,05011970,0,3,,143,23515,373 HEATON PARK  STREET,425,
Drake,DEATON,05081949,0,3,,99,,,235,
Elise,WAITE,06141974,0,4,60,89,21074,5548 MADISON  STREET,322,
Gary,LAYTON,,0,1,62,135,,,337,
Brianna,CROCKER,08041978,0,4,69,154,22458,7482 WILTON  ST,312,
Michael,WASHBURN,04101953,0,,65,109,35102,8892 DEKALB INDUSTRIAL  ST,323,
Lane,CREWS,12221967,0,1,,122,31074,7070 TRINITY  STREET,497,
Gavin,BALL,11251963,0,4,,,24705,2678 EMERSON  ST,139,
Madalyn,SANTANA,07191944,0,3,79,196,37004,5747 HILLMONT  STREET,331,
Dana,DOUGLASS,06191964,0,2,64,133,26510,8627 TALLEY  ST,405,
Bryce,LANDRUM,02051981,0,1,,121,32565,533 KNOB HILLS  STREET,325,
Ainsley,HICKEY,05251979,0,2,64,136,33826,1397 ASHBURY  STREET,408,
Devon,LACKEY,05101978,0,1,74,154,36659,6824 COURT  STREET,157,
Christopher,CORNELL,07121961,0,2,75,,28113,5036 KNOB HILLS  STREET,305,
Jeremy,NUMBERS,11291960,0,4,58,114,23778,7314 MEAD  ST,254,
Thomas,LADD,06121951,0,1,62,132,27001,6864 COTTONWOOD  ST,496,
Jonathon,FINK,03141949,0,3,,154,39303,2823 MAXWELL  STREET,383,
Kyla,LESLIE,12201954,0,2,64,121,29016,6422 RENFROE  ST,372,
Ricky,REAVES,03141949,0,1,68,160,23346,9880 TWIN OAKS  STREET,337,
Jack,BARROW,12111949,0,1,,125,39016,1563 HICKORY  ST,416,
Kassandra,ANDERS,07141962,0,4,77,,23761,7957 GROVEMONT  STREET,180,
Nevaeh,CASTLE,05071976,0,2,55,123,32147,7944 FAIRPARK  ST,110,
Bryant,BURDICK,11221971,,4,56,,28360,4522 MCCLEAN  ST,318,
Alexis,TAPIA,03091983,0,1,72,,28842,3241 APPIAN  ST,489,
Dylan,OWEN,05041944,0,3,68,,34435,943 CLAIREMONT  ST,260,
Ezra,OSBORN,06221942,0,2,,166,21684,1701 OLDFIELD  STREET,267,
Nadia,WEBBER,07211962,,2,72,156,39641,4503 WOODHAVEN  STREET,148,
Kiley,DUTTON,06011984,0,4,59,117,39398,1330 CLARION  STREET,251,
Valentina,ROSA,01271942,0,2,,113,25162,3158 MAXWELL  ST,221,
Callie,OCONNOR,12201961,0,4,,124,38751,5843 CONWAY  ST,303,
Phillip,CRUZ,11131977,0,2,68,143,33548,4934 JEFFERSON  STREET,212,
Jakob,STEPHENS,06101971,0,3,,155,28305,9319 GREEN  ST,105,
Ismael,HANNAH,08241954,0,1,,,,,363,
Christopher,NORTON,07211941,0,3,75,152,28965,7225 MCCLEAN  ST,461,
Isiah,MAYER,12031973,0,2,,134,28439,3606 FORKNER  ST,215,
George,ALBRIGHT,08281965,0,2,62,,31346,6541 DREXEL  STREET,331,
Esmeralda,FALCON,07281953,0,1,58,111,38586,2306 FAYETTEVILLE  ST,237,
Carlos,GARVIN,05061978,0,4,69,141,32906,550 NEW  ST,456,
Cameron,ROUSE,07151961,0,4,,169,21299,2542 PONCE DE LEON  ST,236,
Shannon,COBURN,04171971,0,3,63,,28131,9315 BROWN  STREET,264,
Lucas,MOON,04201946,0,3,61,125,34954,8401 LANSDOWNE  ST,216,
Jayson,LIGHT,06111972,0,1,61,139,38496,6025 OAKLAND  STREET,357,
Braden,BOUDREAU,09011957,0,4,63,130,20139,1382 BUCHANAN  STREET,381,
Bridget,ADAMS,01101941,0,3,59,109,27204,336 DURAND  ST,444,
Jayson,BRADY,07021957,0,3,74,164,31669,2446 WINTER  STREET,290,
Jasmin,KNOWLES,05091973,0,3,62,121,29406,3584 JEFFERSON  STREET,406,
Tony,MCCURDY,07181960,0,3,74,145,20615,8087 HAMPTON  STREET,110,
Felix,MCGINNIS,07191966,0,3,70,,39499,8554 DEARBORN  ST,227,
Jaden,DOWNS,07031948,0,2,77,180,20338,7567 FRANKLIN  STREET,487,
Leonardo,SNEED,07071946,0,3,74,,27240,4065 MOUNT VERNON  ST,455,
Morgan,GRAY,12291944,0,1,,,32293,2667 GROVE  ST,194,
Maximus,PROCTOR,11101959,0,3,61,117,27241,4153 2ND  ST,276,
Cesar,LILLY,02201944,0,2,70,125,33955,2284 JOHNSON  STREET,191,
Brynn,GAVIN,03241961,0,3,,101,29013,9912 DURAND  STREET,496,
Kelsey,JOHNSON,05241958,0,2,77,,39164,9357 KINGS  ST,132,
Haley,MCWILLIAMS,12051946,0,2,69,,27631,1637 MAPLE  STREET,308,
Maria,MARKS,,0,3,60,131,22311,411 CHIEF MATTHEWS  STREET,288,
Linda,HADLEY,04171957,0,1,,,36602,8304 ROCKLAND  ST,131,
Molly,HOLLINS,10081961,0,3,62,123,31347,930 FITZGERALD  STREET,371,
Shawn,GARRETT,05021949,0,,68,149,33271,8785 MOCKINGBIRD  STREET,124,
Gabriel,SHEFFIELD,09071946,0,2,,133,36685,722 STERLING  STREET,160,
Dominick,SHAW,10011957,0,1,55,73,29999,7099 HICKORY  STREET,392,
Ayden,GOLDSTEIN,06141961,0,3,78,188,32571,7946 MOUNT VERNON  ST,408,
Danielle,SAYLOR,05131959,0,2,69,153,32255,1509 GENEVA  ST,219,
Sydney,CRAIN,08171984,0,1,70,155,22918,3533 BUCHANAN  STREET,102,
Bryan,HOSKINS,04251944,0,2,70,176,24614,8995 VILLAGE WALK  STREET,108,
